,ROI1 number,region1,ROI2 number,region2
379,106,Left Heschl's Gyrus (includes H1 and H2),53,Right Occipital Fusiform Gyrus
380,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),36,Right Lateral Occipital Cortex; inferior division
381,106,Left Heschl's Gyrus (includes H1 and H2),51,Right Temporal Fusiform Cortex; posterior division
382,31,Right Superior Parietal Lobule,56,Right Parietal Operculum Cortex
383,31,Right Superior Parietal Lobule,58,Right Heschl's Gyrus (includes H1 and H2)
384,40,Right Subcallosal Cortex,11,Right Hippocampus
385,40,Right Subcallosal Cortex,10,Right Pallidum
386,55,Right Central Opercular Cortex,19,Right Inferior Frontal Gyrus; pars opercularis
387,103,Left Central Opercular Cortex,103,Left Central Opercular Cortex
388,28,Right Inferior Temporal Gyrus; posterior division,102,Left Frontal Operculum Cortex
389,43,Right Cingulate Gyrus; posterior division,64,Left Superior Frontal Gyrus
390,28,Right Inferior Temporal Gyrus; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
391,98,Left Temporal Fusiform Cortex; anterior division,102,Left Frontal Operculum Cortex
392,0,Left Thalamus,16,Right Superior Frontal Gyrus
393,51,Right Temporal Fusiform Cortex; posterior division,95,Left Parahippocampal Gyrus; anterior division
394,69,Left Temporal Pole,19,Right Inferior Frontal Gyrus; pars opercularis
395,98,Left Temporal Fusiform Cortex; anterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
396,69,Left Temporal Pole,48,Right Parahippocampal Gyrus; posterior division
397,62,Left Frontal Pole,81,Left Supramarginal Gyrus; posterior division
398,60,Right Supracalcarine Cortex,44,Right Precuneous Cortex
399,68,Left Precentral Gyrus,73,Left Middle Temporal Gyrus; posterior division
400,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0,Left Thalamus
401,99,Left Temporal Fusiform Cortex; posterior division,22,Right Superior Temporal Gyrus; anterior division
402,62,Left Frontal Pole,61,Right Occipital Pole
403,43,Right Cingulate Gyrus; posterior division,40,Right Subcallosal Cortex
404,103,Left Central Opercular Cortex,74,Left Middle Temporal Gyrus; temporooccipital part
405,49,Right Lingual Gyrus,33,Right Supramarginal Gyrus; posterior division
406,103,Left Central Opercular Cortex,76,Left Inferior Temporal Gyrus; posterior division
407,31,Right Superior Parietal Lobule,25,Right Middle Temporal Gyrus; posterior division
408,66,Left Inferior Frontal Gyrus; pars triangularis,19,Right Inferior Frontal Gyrus; pars opercularis
409,103,Left Central Opercular Cortex,77,Left Inferior Temporal Gyrus; temporooccipital part
410,66,Left Inferior Frontal Gyrus; pars triangularis,36,Right Lateral Occipital Cortex; inferior division
411,35,Right Lateral Occipital Cortex; superior division,32,Right Supramarginal Gyrus; anterior division
412,8,Right Caudate,48,Right Parahippocampal Gyrus; posterior division
413,35,Right Lateral Occipital Cortex; superior division,29,Right Inferior Temporal Gyrus; temporooccipital part
414,60,Right Supracalcarine Cortex,91,Left Cingulate Gyrus; posterior division
415,8,Right Caudate,61,Right Occipital Pole
416,0,Left Thalamus,94,Left Frontal Orbital Cortex
417,31,Right Superior Parietal Lobule,30,Right Postcentral Gyrus
418,106,Left Heschl's Gyrus (includes H1 and H2),91,Left Cingulate Gyrus; posterior division
419,31,Right Superior Parietal Lobule,37,Right Intracalcarine Cortex
420,103,Left Central Opercular Cortex,92,Left Precuneous Cortex
421,36,Right Lateral Occipital Cortex; inferior division,78,Left Postcentral Gyrus
422,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),23,Right Superior Temporal Gyrus; posterior division
423,68,Left Precentral Gyrus,8,Right Caudate
424,17,Right Middle Frontal Gyrus,80,Left Supramarginal Gyrus; anterior division
425,29,Right Inferior Temporal Gyrus; temporooccipital part,59,Right Planum Temporale
426,5,Left Amygdala,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
427,69,Left Temporal Pole,88,Left Subcallosal Cortex
428,43,Right Cingulate Gyrus; posterior division,4,Left Hippocampus
429,59,Right Planum Temporale,44,Right Precuneous Cortex
430,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),74,Left Middle Temporal Gyrus; temporooccipital part
431,37,Right Intracalcarine Cortex,48,Right Parahippocampal Gyrus; posterior division
432,62,Left Frontal Pole,47,Right Parahippocampal Gyrus; anterior division
433,21,Right Temporal Pole,8,Right Caudate
434,31,Right Superior Parietal Lobule,83,Left Lateral Occipital Cortex; superior division
435,35,Right Lateral Occipital Cortex; superior division,106,Left Heschl's Gyrus (includes H1 and H2)
436,35,Right Lateral Occipital Cortex; superior division,105,Left Planum Polare
437,34,Right Angular Gyrus,75,Left Inferior Temporal Gyrus; anterior division
438,33,Right Supramarginal Gyrus; posterior division,44,Right Precuneous Cortex
439,51,Right Temporal Fusiform Cortex; posterior division,33,Right Supramarginal Gyrus; posterior division
440,37,Right Intracalcarine Cortex,37,Right Intracalcarine Cortex
441,31,Right Superior Parietal Lobule,95,Left Parahippocampal Gyrus; anterior division
442,11,Right Hippocampus,58,Right Heschl's Gyrus (includes H1 and H2)
443,11,Right Hippocampus,65,Left Middle Frontal Gyrus
444,3,Left Pallidum,33,Right Supramarginal Gyrus; posterior division
445,79,Left Superior Parietal Lobule,103,Left Central Opercular Cortex
446,75,Left Inferior Temporal Gyrus; anterior division,24,Right Middle Temporal Gyrus; anterior division
447,0,Left Thalamus,77,Left Inferior Temporal Gyrus; temporooccipital part
448,11,Right Hippocampus,81,Left Supramarginal Gyrus; posterior division
449,75,Left Inferior Temporal Gyrus; anterior division,44,Right Precuneous Cortex
450,104,Left Parietal Operculum Cortex,32,Right Supramarginal Gyrus; anterior division
451,75,Left Inferior Temporal Gyrus; anterior division,51,Right Temporal Fusiform Cortex; posterior division
452,17,Right Middle Frontal Gyrus,28,Right Inferior Temporal Gyrus; posterior division
453,103,Left Central Opercular Cortex,29,Right Inferior Temporal Gyrus; temporooccipital part
454,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),7,Right Thalamus
455,27,Right Inferior Temporal Gyrus; anterior division,6,Left Accumbens
456,105,Left Planum Polare,105,Left Planum Polare
457,97,Left Lingual Gyrus,7,Right Thalamus
458,17,Right Middle Frontal Gyrus,52,Right Temporal Occipital Fusiform Cortex
459,17,Right Middle Frontal Gyrus,51,Right Temporal Fusiform Cortex; posterior division
460,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),36,Right Lateral Occipital Cortex; inferior division
461,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),59,Right Planum Temporale
462,11,Right Hippocampus,0,Left Thalamus
463,27,Right Inferior Temporal Gyrus; anterior division,7,Right Thalamus
464,27,Right Inferior Temporal Gyrus; anterior division,1,Left Caudate
465,62,Left Frontal Pole,88,Left Subcallosal Cortex
466,78,Left Postcentral Gyrus,17,Right Middle Frontal Gyrus
467,37,Right Intracalcarine Cortex,29,Right Inferior Temporal Gyrus; temporooccipital part
468,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),65,Left Middle Frontal Gyrus
469,11,Right Hippocampus,18,Right Inferior Frontal Gyrus; pars triangularis
470,34,Right Angular Gyrus,24,Right Middle Temporal Gyrus; anterior division
471,17,Right Middle Frontal Gyrus,5,Left Amygdala
472,78,Left Postcentral Gyrus,104,Left Parietal Operculum Cortex
473,55,Right Central Opercular Cortex,91,Left Cingulate Gyrus; posterior division
474,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),22,Right Superior Temporal Gyrus; anterior division
475,38,Right Frontal Medial Cortex,51,Right Temporal Fusiform Cortex; posterior division
476,104,Left Parietal Operculum Cortex,33,Right Supramarginal Gyrus; posterior division
477,17,Right Middle Frontal Gyrus,53,Right Occipital Fusiform Gyrus
478,40,Right Subcallosal Cortex,44,Right Precuneous Cortex
479,79,Left Superior Parietal Lobule,37,Right Intracalcarine Cortex
480,62,Left Frontal Pole,57,Right Planum Polare
481,104,Left Parietal Operculum Cortex,17,Right Middle Frontal Gyrus
482,79,Left Superior Parietal Lobule,14,Right Frontal Pole
483,17,Right Middle Frontal Gyrus,95,Left Parahippocampal Gyrus; anterior division
484,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),92,Left Precuneous Cortex
485,104,Left Parietal Operculum Cortex,55,Right Central Opercular Cortex
486,103,Left Central Opercular Cortex,53,Right Occipital Fusiform Gyrus
487,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),9,Right Putamen
488,21,Right Temporal Pole,21,Right Temporal Pole
489,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10,Right Pallidum
490,17,Right Middle Frontal Gyrus,32,Right Supramarginal Gyrus; anterior division
491,103,Left Central Opercular Cortex,6,Left Accumbens
492,55,Right Central Opercular Cortex,36,Right Lateral Occipital Cortex; inferior division
493,13,Right Accumbens,51,Right Temporal Fusiform Cortex; posterior division
494,73,Left Middle Temporal Gyrus; posterior division,44,Right Precuneous Cortex
495,97,Left Lingual Gyrus,74,Left Middle Temporal Gyrus; temporooccipital part
496,52,Right Temporal Occipital Fusiform Cortex,33,Right Supramarginal Gyrus; posterior division
497,97,Left Lingual Gyrus,10,Right Pallidum
498,96,Left Parahippocampal Gyrus; posterior division,96,Left Parahippocampal Gyrus; posterior division
499,37,Right Intracalcarine Cortex,9,Right Putamen
500,96,Left Parahippocampal Gyrus; posterior division,78,Left Postcentral Gyrus
501,59,Right Planum Temporale,7,Right Thalamus
502,11,Right Hippocampus,20,Right Precentral Gyrus
503,3,Left Pallidum,3,Left Pallidum
504,37,Right Intracalcarine Cortex,43,Right Cingulate Gyrus; posterior division
505,78,Left Postcentral Gyrus,15,Right Insular Cortex
506,74,Left Middle Temporal Gyrus; temporooccipital part,30,Right Postcentral Gyrus
507,11,Right Hippocampus,74,Left Middle Temporal Gyrus; temporooccipital part
508,105,Left Planum Polare,44,Right Precuneous Cortex
509,64,Left Superior Frontal Gyrus,54,Right Frontal Operculum Cortex
510,37,Right Intracalcarine Cortex,100,Left Temporal Occipital Fusiform Cortex
511,0,Left Thalamus,44,Right Precuneous Cortex
512,69,Left Temporal Pole,68,Left Precentral Gyrus
513,28,Right Inferior Temporal Gyrus; posterior division,28,Right Inferior Temporal Gyrus; posterior division
514,97,Left Lingual Gyrus,76,Left Inferior Temporal Gyrus; posterior division
515,43,Right Cingulate Gyrus; posterior division,23,Right Superior Temporal Gyrus; posterior division
516,31,Right Superior Parietal Lobule,9,Right Putamen
517,36,Right Lateral Occipital Cortex; inferior division,15,Right Insular Cortex
518,31,Right Superior Parietal Lobule,1,Left Caudate
519,66,Left Inferior Frontal Gyrus; pars triangularis,66,Left Inferior Frontal Gyrus; pars triangularis
520,66,Left Inferior Frontal Gyrus; pars triangularis,77,Left Inferior Temporal Gyrus; temporooccipital part
521,66,Left Inferior Frontal Gyrus; pars triangularis,83,Left Lateral Occipital Cortex; superior division
522,66,Left Inferior Frontal Gyrus; pars triangularis,89,Left Paracingulate Gyrus
523,35,Right Lateral Occipital Cortex; superior division,15,Right Insular Cortex
524,76,Left Inferior Temporal Gyrus; posterior division,38,Right Frontal Medial Cortex
525,31,Right Superior Parietal Lobule,40,Right Subcallosal Cortex
526,43,Right Cingulate Gyrus; posterior division,30,Right Postcentral Gyrus
527,29,Right Inferior Temporal Gyrus; temporooccipital part,55,Right Central Opercular Cortex
528,49,Right Lingual Gyrus,7,Right Thalamus
529,29,Right Inferior Temporal Gyrus; temporooccipital part,22,Right Superior Temporal Gyrus; anterior division
530,68,Left Precentral Gyrus,60,Right Supracalcarine Cortex
531,99,Left Temporal Fusiform Cortex; posterior division,12,Right Amygdala
532,68,Left Precentral Gyrus,69,Left Temporal Pole
533,69,Left Temporal Pole,8,Right Caudate
534,51,Right Temporal Fusiform Cortex; posterior division,73,Left Middle Temporal Gyrus; posterior division
535,13,Right Accumbens,22,Right Superior Temporal Gyrus; anterior division
536,17,Right Middle Frontal Gyrus,101,Left Occipital Fusiform Gyrus
537,64,Left Superior Frontal Gyrus,17,Right Middle Frontal Gyrus
538,13,Right Accumbens,88,Left Subcallosal Cortex
539,77,Left Inferior Temporal Gyrus; temporooccipital part,72,Left Middle Temporal Gyrus; anterior division
540,0,Left Thalamus,51,Right Temporal Fusiform Cortex; posterior division
541,89,Left Paracingulate Gyrus,105,Left Planum Polare
542,33,Right Supramarginal Gyrus; posterior division,15,Right Insular Cortex
543,4,Left Hippocampus,11,Right Hippocampus
544,53,Right Occipital Fusiform Gyrus,103,Left Central Opercular Cortex
545,3,Left Pallidum,108,Left Supracalcarine Cortex
546,77,Left Inferior Temporal Gyrus; temporooccipital part,74,Left Middle Temporal Gyrus; temporooccipital part
547,4,Left Hippocampus,27,Right Inferior Temporal Gyrus; anterior division
548,4,Left Hippocampus,40,Right Subcallosal Cortex
549,32,Right Supramarginal Gyrus; anterior division,28,Right Inferior Temporal Gyrus; posterior division
550,89,Left Paracingulate Gyrus,66,Left Inferior Frontal Gyrus; pars triangularis
551,77,Left Inferior Temporal Gyrus; temporooccipital part,61,Right Occipital Pole
552,33,Right Supramarginal Gyrus; posterior division,28,Right Inferior Temporal Gyrus; posterior division
553,6,Left Accumbens,88,Left Subcallosal Cortex
554,89,Left Paracingulate Gyrus,71,Left Superior Temporal Gyrus; posterior division
555,32,Right Supramarginal Gyrus; anterior division,104,Left Parietal Operculum Cortex
556,89,Left Paracingulate Gyrus,83,Left Lateral Occipital Cortex; superior division
557,32,Right Supramarginal Gyrus; anterior division,33,Right Supramarginal Gyrus; posterior division
558,89,Left Paracingulate Gyrus,24,Right Middle Temporal Gyrus; anterior division
559,51,Right Temporal Fusiform Cortex; posterior division,56,Right Parietal Operculum Cortex
560,17,Right Middle Frontal Gyrus,73,Left Middle Temporal Gyrus; posterior division
561,8,Right Caudate,98,Left Temporal Fusiform Cortex; anterior division
562,43,Right Cingulate Gyrus; posterior division,63,Left Insular Cortex
563,8,Right Caudate,106,Left Heschl's Gyrus (includes H1 and H2)
564,13,Right Accumbens,25,Right Middle Temporal Gyrus; posterior division
565,89,Left Paracingulate Gyrus,104,Left Parietal Operculum Cortex
566,17,Right Middle Frontal Gyrus,78,Left Postcentral Gyrus
567,89,Left Paracingulate Gyrus,4,Left Hippocampus
568,60,Right Supracalcarine Cortex,95,Left Parahippocampal Gyrus; anterior division
569,89,Left Paracingulate Gyrus,37,Right Intracalcarine Cortex
570,46,Right Frontal Orbital Cortex,0,Left Thalamus
571,8,Right Caudate,83,Left Lateral Occipital Cortex; superior division
572,6,Left Accumbens,37,Right Intracalcarine Cortex
573,8,Right Caudate,69,Left Temporal Pole
574,8,Right Caudate,68,Left Precentral Gyrus
575,8,Right Caudate,60,Right Supracalcarine Cortex
576,8,Right Caudate,37,Right Intracalcarine Cortex
577,6,Left Accumbens,40,Right Subcallosal Cortex
578,61,Right Occipital Pole,44,Right Precuneous Cortex
579,14,Right Frontal Pole,62,Left Frontal Pole
580,103,Left Central Opercular Cortex,44,Right Precuneous Cortex
581,53,Right Occipital Fusiform Gyrus,62,Left Frontal Pole
582,53,Right Occipital Fusiform Gyrus,29,Right Inferior Temporal Gyrus; temporooccipital part
583,95,Left Parahippocampal Gyrus; anterior division,7,Right Thalamus
584,46,Right Frontal Orbital Cortex,7,Right Thalamus
585,51,Right Temporal Fusiform Cortex; posterior division,31,Right Superior Parietal Lobule
586,13,Right Accumbens,41,Right Paracingulate Gyrus
587,96,Left Parahippocampal Gyrus; posterior division,12,Right Amygdala
588,96,Left Parahippocampal Gyrus; posterior division,32,Right Supramarginal Gyrus; anterior division
589,62,Left Frontal Pole,3,Left Pallidum
590,0,Left Thalamus,32,Right Supramarginal Gyrus; anterior division
591,103,Left Central Opercular Cortex,20,Right Precentral Gyrus
592,51,Right Temporal Fusiform Cortex; posterior division,36,Right Lateral Occipital Cortex; inferior division
593,34,Right Angular Gyrus,88,Left Subcallosal Cortex
594,6,Left Accumbens,83,Left Lateral Occipital Cortex; superior division
595,34,Right Angular Gyrus,94,Left Frontal Orbital Cortex
596,35,Right Lateral Occipital Cortex; superior division,61,Right Occipital Pole
597,13,Right Accumbens,66,Left Inferior Frontal Gyrus; pars triangularis
598,11,Right Hippocampus,33,Right Supramarginal Gyrus; posterior division
599,103,Left Central Opercular Cortex,49,Right Lingual Gyrus
600,13,Right Accumbens,24,Right Middle Temporal Gyrus; anterior division
601,43,Right Cingulate Gyrus; posterior division,75,Left Inferior Temporal Gyrus; anterior division
602,51,Right Temporal Fusiform Cortex; posterior division,49,Right Lingual Gyrus
603,92,Left Precuneous Cortex,67,Left Inferior Frontal Gyrus; pars opercularis
604,97,Left Lingual Gyrus,6,Left Accumbens
605,0,Left Thalamus,54,Right Frontal Operculum Cortex
606,97,Left Lingual Gyrus,0,Left Thalamus
607,13,Right Accumbens,106,Left Heschl's Gyrus (includes H1 and H2)
608,13,Right Accumbens,105,Left Planum Polare
609,0,Left Thalamus,52,Right Temporal Occipital Fusiform Cortex
610,11,Right Hippocampus,10,Right Pallidum
611,34,Right Angular Gyrus,102,Left Frontal Operculum Cortex
612,35,Right Lateral Occipital Cortex; superior division,59,Right Planum Temporale
613,96,Left Parahippocampal Gyrus; posterior division,103,Left Central Opercular Cortex
614,89,Left Paracingulate Gyrus,62,Left Frontal Pole
615,49,Right Lingual Gyrus,36,Right Lateral Occipital Cortex; inferior division
616,103,Left Central Opercular Cortex,75,Left Inferior Temporal Gyrus; anterior division
617,75,Left Inferior Temporal Gyrus; anterior division,38,Right Frontal Medial Cortex
618,31,Right Superior Parietal Lobule,101,Left Occipital Fusiform Gyrus
619,75,Left Inferior Temporal Gyrus; anterior division,67,Left Inferior Frontal Gyrus; pars opercularis
620,75,Left Inferior Temporal Gyrus; anterior division,91,Left Cingulate Gyrus; posterior division
621,76,Left Inferior Temporal Gyrus; posterior division,34,Right Angular Gyrus
622,3,Left Pallidum,73,Left Middle Temporal Gyrus; posterior division
623,38,Right Frontal Medial Cortex,5,Left Amygdala
624,38,Right Frontal Medial Cortex,9,Right Putamen
625,76,Left Inferior Temporal Gyrus; posterior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
626,35,Right Lateral Occipital Cortex; superior division,95,Left Parahippocampal Gyrus; anterior division
627,76,Left Inferior Temporal Gyrus; posterior division,95,Left Parahippocampal Gyrus; anterior division
628,32,Right Supramarginal Gyrus; anterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
629,76,Left Inferior Temporal Gyrus; posterior division,98,Left Temporal Fusiform Cortex; anterior division
630,3,Left Pallidum,109,Left Occipital Pole
631,57,Right Planum Polare,103,Left Central Opercular Cortex
632,46,Right Frontal Orbital Cortex,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
633,32,Right Supramarginal Gyrus; anterior division,105,Left Planum Polare
634,108,Left Supracalcarine Cortex,44,Right Precuneous Cortex
635,104,Left Parietal Operculum Cortex,95,Left Parahippocampal Gyrus; anterior division
636,77,Left Inferior Temporal Gyrus; temporooccipital part,69,Left Temporal Pole
637,33,Right Supramarginal Gyrus; posterior division,19,Right Inferior Frontal Gyrus; pars opercularis
638,63,Left Insular Cortex,22,Right Superior Temporal Gyrus; anterior division
639,77,Left Inferior Temporal Gyrus; temporooccipital part,91,Left Cingulate Gyrus; posterior division
640,77,Left Inferior Temporal Gyrus; temporooccipital part,92,Left Precuneous Cortex
641,33,Right Supramarginal Gyrus; posterior division,37,Right Intracalcarine Cortex
642,78,Left Postcentral Gyrus,12,Right Amygdala
643,57,Right Planum Polare,51,Right Temporal Fusiform Cortex; posterior division
644,104,Left Parietal Operculum Cortex,76,Left Inferior Temporal Gyrus; posterior division
645,78,Left Postcentral Gyrus,28,Right Inferior Temporal Gyrus; posterior division
646,78,Left Postcentral Gyrus,54,Right Frontal Operculum Cortex
647,77,Left Inferior Temporal Gyrus; temporooccipital part,38,Right Frontal Medial Cortex
648,74,Left Middle Temporal Gyrus; temporooccipital part,100,Left Temporal Occipital Fusiform Cortex
649,74,Left Middle Temporal Gyrus; temporooccipital part,91,Left Cingulate Gyrus; posterior division
650,3,Left Pallidum,28,Right Inferior Temporal Gyrus; posterior division
651,31,Right Superior Parietal Lobule,16,Right Superior Frontal Gyrus
652,31,Right Superior Parietal Lobule,6,Left Accumbens
653,66,Left Inferior Frontal Gyrus; pars triangularis,37,Right Intracalcarine Cortex
654,66,Left Inferior Frontal Gyrus; pars triangularis,42,Right Cingulate Gyrus; anterior division
655,31,Right Superior Parietal Lobule,26,Right Middle Temporal Gyrus; temporooccipital part
656,66,Left Inferior Frontal Gyrus; pars triangularis,92,Left Precuneous Cortex
657,68,Left Precentral Gyrus,14,Right Frontal Pole
658,68,Left Precentral Gyrus,15,Right Insular Cortex
659,29,Right Inferior Temporal Gyrus; temporooccipital part,50,Right Temporal Fusiform Cortex; anterior division
660,29,Right Inferior Temporal Gyrus; temporooccipital part,0,Left Thalamus
661,68,Left Precentral Gyrus,78,Left Postcentral Gyrus
662,68,Left Precentral Gyrus,89,Left Paracingulate Gyrus
663,69,Left Temporal Pole,13,Right Accumbens
664,59,Right Planum Temporale,59,Right Planum Temporale
665,49,Right Lingual Gyrus,1,Left Caudate
666,69,Left Temporal Pole,42,Right Cingulate Gyrus; anterior division
667,28,Right Inferior Temporal Gyrus; posterior division,17,Right Middle Frontal Gyrus
668,74,Left Middle Temporal Gyrus; temporooccipital part,19,Right Inferior Frontal Gyrus; pars opercularis
669,37,Right Intracalcarine Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
670,3,Left Pallidum,12,Right Amygdala
671,37,Right Intracalcarine Cortex,49,Right Lingual Gyrus
672,31,Right Superior Parietal Lobule,81,Left Supramarginal Gyrus; posterior division
673,37,Right Intracalcarine Cortex,23,Right Superior Temporal Gyrus; posterior division
674,38,Right Frontal Medial Cortex,47,Right Parahippocampal Gyrus; anterior division
675,27,Right Inferior Temporal Gyrus; anterior division,0,Left Thalamus
676,27,Right Inferior Temporal Gyrus; anterior division,9,Right Putamen
677,27,Right Inferior Temporal Gyrus; anterior division,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
678,27,Right Inferior Temporal Gyrus; anterior division,40,Right Subcallosal Cortex
679,37,Right Intracalcarine Cortex,5,Left Amygdala
680,105,Left Planum Polare,104,Left Parietal Operculum Cortex
681,69,Left Temporal Pole,78,Left Postcentral Gyrus
682,64,Left Superior Frontal Gyrus,102,Left Frontal Operculum Cortex
683,57,Right Planum Polare,48,Right Parahippocampal Gyrus; posterior division
684,76,Left Inferior Temporal Gyrus; posterior division,61,Right Occipital Pole
685,79,Left Superior Parietal Lobule,3,Left Pallidum
686,62,Left Frontal Pole,75,Left Inferior Temporal Gyrus; anterior division
687,38,Right Frontal Medial Cortex,94,Left Frontal Orbital Cortex
688,0,Left Thalamus,106,Left Heschl's Gyrus (includes H1 and H2)
689,79,Left Superior Parietal Lobule,60,Right Supracalcarine Cortex
690,104,Left Parietal Operculum Cortex,49,Right Lingual Gyrus
691,4,Left Hippocampus,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
692,108,Left Supracalcarine Cortex,91,Left Cingulate Gyrus; posterior division
693,81,Left Supramarginal Gyrus; posterior division,78,Left Postcentral Gyrus
694,40,Right Subcallosal Cortex,47,Right Parahippocampal Gyrus; anterior division
695,4,Left Hippocampus,84,Left Lateral Occipital Cortex; inferior division
696,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),18,Right Inferior Frontal Gyrus; pars triangularis
697,4,Left Hippocampus,82,Left Angular Gyrus
698,78,Left Postcentral Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
699,78,Left Postcentral Gyrus,73,Left Middle Temporal Gyrus; posterior division
700,103,Left Central Opercular Cortex,97,Left Lingual Gyrus
701,78,Left Postcentral Gyrus,78,Left Postcentral Gyrus
702,78,Left Postcentral Gyrus,103,Left Central Opercular Cortex
703,50,Right Temporal Fusiform Cortex; anterior division,33,Right Supramarginal Gyrus; posterior division
704,104,Left Parietal Operculum Cortex,6,Left Accumbens
705,40,Right Subcallosal Cortex,3,Left Pallidum
706,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),37,Right Intracalcarine Cortex
707,35,Right Lateral Occipital Cortex; superior division,103,Left Central Opercular Cortex
708,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),33,Right Supramarginal Gyrus; posterior division
709,32,Right Supramarginal Gyrus; anterior division,12,Right Amygdala
710,51,Right Temporal Fusiform Cortex; posterior division,23,Right Superior Temporal Gyrus; posterior division
711,40,Right Subcallosal Cortex,46,Right Frontal Orbital Cortex
712,96,Left Parahippocampal Gyrus; posterior division,102,Left Frontal Operculum Cortex
713,97,Left Lingual Gyrus,51,Right Temporal Fusiform Cortex; posterior division
714,105,Left Planum Polare,103,Left Central Opercular Cortex
715,13,Right Accumbens,37,Right Intracalcarine Cortex
716,29,Right Inferior Temporal Gyrus; temporooccipital part,2,Left Putamen
717,105,Left Planum Polare,96,Left Parahippocampal Gyrus; posterior division
718,11,Right Hippocampus,9,Right Putamen
719,31,Right Superior Parietal Lobule,45,Right Cuneal Cortex
720,105,Left Planum Polare,2,Left Putamen
721,29,Right Inferior Temporal Gyrus; temporooccipital part,1,Left Caudate
722,99,Left Temporal Fusiform Cortex; posterior division,10,Right Pallidum
723,94,Left Frontal Orbital Cortex,92,Left Precuneous Cortex
724,58,Right Heschl's Gyrus (includes H1 and H2),91,Left Cingulate Gyrus; posterior division
725,3,Left Pallidum,29,Right Inferior Temporal Gyrus; temporooccipital part
726,40,Right Subcallosal Cortex,4,Left Hippocampus
727,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10,Right Pallidum
728,64,Left Superior Frontal Gyrus,64,Left Superior Frontal Gyrus
729,103,Left Central Opercular Cortex,51,Right Temporal Fusiform Cortex; posterior division
730,3,Left Pallidum,21,Right Temporal Pole
731,17,Right Middle Frontal Gyrus,50,Right Temporal Fusiform Cortex; anterior division
732,75,Left Inferior Temporal Gyrus; anterior division,53,Right Occipital Fusiform Gyrus
733,40,Right Subcallosal Cortex,9,Right Putamen
734,98,Left Temporal Fusiform Cortex; anterior division,33,Right Supramarginal Gyrus; posterior division
735,85,Left Intracalcarine Cortex,44,Right Precuneous Cortex
736,11,Right Hippocampus,107,Left Planum Temporale
737,51,Right Temporal Fusiform Cortex; posterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
738,53,Right Occipital Fusiform Gyrus,19,Right Inferior Frontal Gyrus; pars opercularis
739,97,Left Lingual Gyrus,72,Left Middle Temporal Gyrus; anterior division
740,99,Left Temporal Fusiform Cortex; posterior division,7,Right Thalamus
741,62,Left Frontal Pole,40,Right Subcallosal Cortex
742,19,Right Inferior Frontal Gyrus; pars opercularis,62,Left Frontal Pole
743,68,Left Precentral Gyrus,13,Right Accumbens
744,16,Right Superior Frontal Gyrus,78,Left Postcentral Gyrus
745,16,Right Superior Frontal Gyrus,104,Left Parietal Operculum Cortex
746,4,Left Hippocampus,58,Right Heschl's Gyrus (includes H1 and H2)
747,89,Left Paracingulate Gyrus,103,Left Central Opercular Cortex
748,104,Left Parietal Operculum Cortex,106,Left Heschl's Gyrus (includes H1 and H2)
749,77,Left Inferior Temporal Gyrus; temporooccipital part,73,Left Middle Temporal Gyrus; posterior division
750,78,Left Postcentral Gyrus,32,Right Supramarginal Gyrus; anterior division
751,0,Left Thalamus,64,Left Superior Frontal Gyrus
752,41,Right Paracingulate Gyrus,44,Right Precuneous Cortex
753,78,Left Postcentral Gyrus,33,Right Supramarginal Gyrus; posterior division
754,17,Right Middle Frontal Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
